# This autogenerated file contains thermodynamical properties of CO2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min pressure = 101325.0, max pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg], thermal_conductivity [W/m.K], cv [J/kg.K], cp [J/kg.K], internal energy [J/kg.K]
1.00000000000e+00, 1.01325000000e+05, 1.96944161023e+00, 1.37577968973e-05, 4.85697627274e+05, 1.48185741260e-02, 6.33043821955e+02, 8.27804844484e+02, 4.34249034194e+05 
1.00000000000e+00, 6.03328391960e+05, 1.21433756185e+01, 1.37949740697e-05, 4.79868614362e+05, 1.51458815757e-02, 6.52027182462e+02, 8.79906523974e+02, 4.30184868185e+05 
1.00000000000e+00, 1.10533178392e+06, 2.31183538951e+01, 1.38490872335e-05, 4.73622716495e+05, 1.55436452405e-02, 6.73188955548e+02, 9.43287379455e+02, 4.25810844208e+05 
1.00000000000e+00, 1.60733517588e+06, 3.50885944377e+01, 1.39249239634e-05, 4.66855676939e+05, 1.60386331124e-02, 6.97494381724e+02, 1.02326306274e+03, 4.21047766943e+05 
1.00000000000e+00, 2.10933856784e+06, 4.83403487843e+01, 1.40296618916e-05, 4.59413603774e+05, 1.66760242732e-02, 7.26418541188e+02, 1.12902451226e+03, 4.15778449686e+05 
1.00000000000e+00, 2.61134195980e+06, 6.33273516305e+01, 1.41748772416e-05, 4.51050991776e+05, 1.75397931026e-02, 7.62510766152e+02, 1.27842246264e+03, 4.09815382003e+05 
1.00000000000e+00, 3.11334535176e+06, 8.08522737157e+01, 1.43813997366e-05, 4.41327913765e+05, 1.88100060625e-02, 8.11003354684e+02, 1.51267651844e+03, 4.02821323800e+05 
1.00000000000e+00, 3.61534874372e+06, 9.21745567902e+02, 9.87634243884e-05, 2.02408256144e+05, 1.08032464580e-01, 9.46505089151e+02, 2.57044249176e+03, 1.98485971221e+05 
1.00000000000e+00, 4.11735213568e+06, 9.26493187962e+02, 1.00098627659e-04, 2.01844754477e+05, 1.08994699146e-01, 9.41998484589e+02, 2.52073942868e+03, 1.97400736767e+05 
1.00000000000e+00, 4.61935552764e+06, 9.30984067267e+02, 1.01383423188e-04, 2.01328651960e+05, 1.09920891689e-01, 9.38567803096e+02, 2.47678817274e+03, 1.96366853268e+05 
