# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min pressure = 101325.0, max pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg], thermal_conductivity [W/m.K], cv [J/kg.K], cp [J/kg.K], internal energy [J/kg.K]
1.00000000000e+00, 1.01325000000e+05, 9.99901837560e+02, 1.73102128553e-03, 2.04183222210e+05, 5.58183414078e-01, 4.21476379226e+03, 4.21611347097e+03, 2.04081887262e+05 
1.00000000000e+00, 6.03328391960e+05, 1.00015522089e+03, 1.72999404733e-03, 2.04691946756e+05, 5.58558722385e-01, 4.21244536595e+03, 4.21369867517e+03, 2.04088711999e+05 
1.00000000000e+00, 1.10533178392e+06, 1.00040830960e+03, 1.72897176518e-03, 2.05200289621e+05, 5.58933179902e-01, 4.21013567871e+03, 4.21129638371e+03, 2.04095408970e+05 
1.00000000000e+00, 1.60733517588e+06, 1.00066110417e+03, 1.72795442919e-03, 2.05708251976e+05, 5.59306788388e-01, 4.20783468383e+03, 4.20890652665e+03, 2.04101978714e+05 
1.00000000000e+00, 2.10933856784e+06, 1.00091360508e+03, 1.72694202948e-03, 2.06215834991e+05, 5.59679549600e-01, 4.20554233488e+03, 4.20652903435e+03, 2.04108421766e+05 
1.00000000000e+00, 2.61134195980e+06, 1.00116581282e+03, 1.72593455616e-03, 2.06723039830e+05, 5.60051465289e-01, 4.20325858560e+03, 4.20416383749e+03, 2.04114738661e+05 
1.00000000000e+00, 3.11334535176e+06, 1.00141772786e+03, 1.72493199934e-03, 2.07229867658e+05, 5.60422537208e-01, 4.20098338995e+03, 4.20181086702e+03, 2.04120929933e+05 
1.00000000000e+00, 3.61534874372e+06, 1.00166935068e+03, 1.72393434914e-03, 2.07736319631e+05, 5.60792767105e-01, 4.19871670214e+03, 4.19947005423e+03, 2.04126996113e+05 
1.00000000000e+00, 4.11735213568e+06, 1.00192068174e+03, 1.72294159566e-03, 2.08242396905e+05, 5.61162156726e-01, 4.19645847656e+03, 4.19714133069e+03, 2.04132937732e+05 
1.00000000000e+00, 4.61935552764e+06, 1.00217172153e+03, 1.72195372903e-03, 2.08748100632e+05, 5.61530707817e-01, 4.19420866786e+03, 4.19482462828e+03, 2.04138755319e+05 
1.00000000000e+00, 5.12135891960e+06, 1.00242247051e+03, 1.72097073936e-03, 2.09253431960e+05, 5.61898422118e-01, 4.19196723089e+03, 4.19251987920e+03, 2.04144449399e+05 
1.00000000000e+00, 5.62336231156e+06, 1.00267292914e+03, 1.71999261677e-03, 2.09758392032e+05, 5.62265301368e-01, 4.18973412071e+03, 4.19022701593e+03, 2.04150020501e+05 
1.00000000000e+00, 6.12536570352e+06, 1.00292309790e+03, 1.71901935138e-03, 2.10262981993e+05, 5.62631347306e-01, 4.18750929263e+03, 4.18794597129e+03, 2.04155469147e+05 
1.00000000000e+00, 6.62736909548e+06, 1.00317297723e+03, 1.71805093331e-03, 2.10767202976e+05, 5.62996561665e-01, 4.18529270217e+03, 4.18567667839e+03, 2.04160795860e+05 
1.00000000000e+00, 7.12937248744e+06, 1.00342256761e+03, 1.71708735268e-03, 2.11271056119e+05, 5.63360946179e-01, 4.18308430506e+03, 4.18341907065e+03, 2.04166001163e+05 
1.00000000000e+00, 7.63137587940e+06, 1.00367186949e+03, 1.71612859963e-03, 2.11774542551e+05, 5.63724502578e-01, 4.18088405725e+03, 4.18117308181e+03, 2.04171085574e+05 
1.00000000000e+00, 8.13337927136e+06, 1.00392088333e+03, 1.71517466428e-03, 2.12277663400e+05, 5.64087232589e-01, 4.17869191496e+03, 4.17893864591e+03, 2.04176049612e+05 
1.00000000000e+00, 8.63538266332e+06, 1.00416960959e+03, 1.71422553677e-03, 2.12780419790e+05, 5.64449137938e-01, 4.17650783457e+03, 4.17671569730e+03, 2.04180893793e+05 
1.00000000000e+00, 9.13738605528e+06, 1.00441804870e+03, 1.71328120722e-03, 2.13282812841e+05, 5.64810220349e-01, 4.17433177272e+03, 4.17450417066e+03, 2.04185618633e+05 
1.00000000000e+00, 9.63938944724e+06, 1.00466620113e+03, 1.71234166577e-03, 2.13784843670e+05, 5.65170481543e-01, 4.17216368627e+03, 4.17230400095e+03, 2.04190224645e+05 
1.00000000000e+00, 1.01413928392e+07, 1.00491406733e+03, 1.71140690258e-03, 2.14286513391e+05, 5.65529923239e-01, 4.17000353229e+03, 4.17011512347e+03, 2.04194712342e+05 
1.00000000000e+00, 1.06433962312e+07, 1.00516164774e+03, 1.71047690777e-03, 2.14787823115e+05, 5.65888547154e-01, 4.16785126809e+03, 4.16793747380e+03, 2.04199082234e+05 
