# This autogenerated file contains solubilities of CO2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min phase pressure = 101325.0, max phase pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_CO2 [-]
 1.00000000000e+00,   1.01325000000e+05, 6.60668959488e-03, 1.13207321369e-03
 1.00000000000e+00,   6.03328391960e+05, 1.16536588236e-03, 6.52950124311e-03
 1.00000000000e+00,   1.10533178392e+06, 6.69857189445e-04, 1.15225425924e-02
 1.00000000000e+00,   1.60733517588e+06, 4.86596810548e-04, 1.61228302179e-02
 1.00000000000e+00,   2.10933856784e+06, 3.93150374936e-04, 2.03407436833e-02
 1.00000000000e+00,   2.61134195980e+06, 3.38328985886e-04, 2.41852752196e-02
 1.00000000000e+00,   3.11334535176e+06, 3.04290710484e-04, 2.76643156991e-02
 1.00000000000e+00,   3.61534874372e+06, 1.60564906012e-03, 3.17208055440e-02
 1.00000000000e+00,   4.11735213568e+06, 1.61514922267e-03, 3.18350298269e-02
 1.00000000000e+00,   4.61935552764e+06, 1.62417019440e-03, 3.19406794670e-02
 1.00000000000e+00,   5.12135891960e+06, 1.63277515754e-03, 3.20388977889e-02
 1.00000000000e+00,   5.62336231156e+06, 1.64101429700e-03, 3.21305773129e-02
 1.00000000000e+00,   6.12536570352e+06, 1.64892835005e-03, 3.22164321690e-02
 1.00000000000e+00,   6.62736909548e+06, 1.65655097893e-03, 3.22970455732e-02
 1.00000000000e+00,   7.12937248744e+06, 1.66391041526e-03, 3.23729021088e-02
 1.00000000000e+00,   7.63137587940e+06, 1.67103063505e-03, 3.24444103639e-02
 1.00000000000e+00,   8.13337927136e+06, 1.67793222010e-03, 3.25119192314e-02
 1.00000000000e+00,   8.63538266332e+06, 1.68463300380e-03, 3.25757299184e-02
 1.00000000000e+00,   9.13738605528e+06, 1.69114856445e-03, 3.26361049745e-02
 1.00000000000e+00,   9.63938944724e+06, 1.69749260863e-03, 3.26932752001e-02
 1.00000000000e+00,   1.01413928392e+07, 1.70367727345e-03, 3.27474450169e-02
 1.00000000000e+00,   1.06433962312e+07, 1.70971336799e-03, 3.27987967030e-02
 1.00000000000e+00,   1.11453996231e+07, 1.71561056848e-03, 3.28474937746e-02
 1.00000000000e+00,   1.16474030151e+07, 1.72137757762e-03, 3.28936837180e-02
 1.00000000000e+00,   1.21494064070e+07, 1.72702225595e-03, 3.29375002199e-02
 1.00000000000e+00,   1.26514097990e+07, 1.73255173113e-03, 3.29790650040e-02
 1.00000000000e+00,   1.31534131910e+07, 1.73797248944e-03, 3.30184893598e-02
 1.00000000000e+00,   1.36554165829e+07, 1.74329045301e-03, 3.30558754216e-02
 1.00000000000e+00,   1.41574199749e+07, 1.74851104546e-03, 3.30913172484e-02
 1.00000000000e+00,   1.46594233668e+07, 1.75363924795e-03, 3.31249017425e-02
 1.00000000000e+00,   1.51614267588e+07, 1.75867964738e-03, 3.31567094336e-02
 1.00000000000e+00,   1.56634301508e+07, 1.76363647798e-03, 3.31868151534e-02
 1.00000000000e+00,   1.61654335427e+07, 1.76851365743e-03, 3.32152886192e-02
